Company Name,domain
J.B. Hunt,jbhunt.com
Sephora,sephora.com
Great Wall Motors,gwm-global.com
Karma Automotive,karmaautomotive.com
Humana,humana.com
Rio Tinto,riotinto.com
Teva Pharmaceutical Industries,tevapharm.com
Morgan Stanley,morganstanley.com
Stripe,stripe.com
Tata Motors,tatamotors.com
The Wall Street Journal,wsj.com
SABIC,sabic.com
Mondelez International,mondelezinternational.com
Honeywell,honeywell.com
Cummins,cummins.com
Hearst Communications,hearst.com
Daimler AG,mercedes-benz.com
ConocoPhillips,conocophillips.com
Coinbase,coinbase.com
Hyundai,hyundai.com
ENI,eni.com
AstraZeneca,astrazeneca.com
Swiss Re,swissre.com
Estée Lauder,elcompanies.com
Airbnb,airbnb.com
PNC Financial Services,pnc.com
Parker Hannifin,parker.com
Weibo,weibo.com
L’Oréal,loreal.com
Apple,apple.com
Coca-Cola,coca-colacompany.com
Uber,uber.com
Kaiser Permanente,kaiserpermanente.org
Slack (part of Salesforce),slack.com
Halliburton,halliburton.com
Anheuser-Busch InBev,ab-inbev.com
Pfizer,pfizer.com
GE Healthcare,gehealthcare.com
Peugeot,peugeot.com
Twitch (Amazon),amazon.com
Aviva,aviva.com
Meta (Facebook),globaldata.com
Meituan,meituan.com
DXC Technology,dxc.com
Goldman Sachs,goldmansachs.com
Bugatti,bugatti.com
Victoria’s Secret,victoriassecret.com
Koenigsegg,koenigsegg.com
PepsiCo,pepsico.com
Ulta Beauty,ulta.com
ByteDance,bytedance.com
Changan Automobile,globalchangan.com
TD Bank,td.com
Palantir,palantir.com
Munich Re,munichre.com
Anthem,anthem.com
McKesson Corporation,mckesson.com
AIG,aig.com
ViacomCBS,paramount.com
IBM,ibm.com
Maserati,maserati.com
Marks & Spencer,marksandspencer.com
Scotiabank,scotiabank.com
News Corp,newscorp.com
Adidas,adidas-group.com
Salesforce,salesforce.com
Gap Inc.,gapinc.com
CNN,cnn.com
Kakao,kakaocorp.com
Eaton Corporation,eaton.com
Johnson & Johnson,jnj.com
Equinor,equinor.com
Regal Cinemas,regmovies.com
Emerson Electric,emerson.com
IKEA,ikea.com
Microsoft,microsoft.com
Amazon Prime Video,amazon.com
Payoneer,payoneer.com
PayPal,paypal.com
AXA Group,axa.com
Sandvik,home.sandvik
DuPont,dupont.com
Eurosport,eurosport.com
Rockwell Automation,rockwellautomation.com
H&M,hmlaundryequipment.com
SiriusXM,siriusxm.com
Carrefour,carrefour.com
BioNTech,biontech.com
Mitsubishi Electric,mitsubishielectric.com
General Electric,ge.com
Meredith Corporation,dotdashmeredith.com
Lionsgate,lionsgate.com
Zoom,zoom.us
VinFast,vinfastauto.us
Lucid Motors,lucidmotors.com
Mazda,mazda.com
Atlas Copco,atlascopco.com
Bentley Motors,bentleymotors.com
FAW Group,faw.com
Vanguard Group,vanguard.com
Blackstone,blackstone.com
Lidl,lidl.com
Zimmer Biomet,zimmerbiomet.com
Siemens Healthineers,siemens-healthineers.com
Siemens,siemens.com
Twilio,twilio.com
C.H. Robinson,chrobinson.com
Deutsche Bank,db.com
Boehringer Ingelheim,boehringer-ingelheim.com
Mastercard,mastercard.us
YouTube (Google),google.com
The New York Times,nytco.com
RBC (Royal Bank of Canada),rbcroyalbank.com
MGM Studios,mgm.com
Sky Group,skygroup.sky
Citibank,citi.com
Snowflake,snowflake.com
Puma,puma.com
Schlumberger,slb.com
Kia Motors,kia.com
Dow Inc.,dow.com
Jaguar Land Rover,jaguarlandrover.com
DAZN,dazngroup.com
Ford Motor Company,ford.com
Vimeo,vimeo.com
Thermo Fisher Scientific,thermofisher.com
Barclays,home.barclays
PetroChina,petrochina.com.cn
Fiserv,fiserv.com
Home Depot,homedepot.com
Sanofi,sanofi.com
BlackRock,blackrock.com
Aetna,aetna.com
Valero Energy,valero.com
Uniqlo,uniqlo.com
Oracle,oracle.com
Geely,geely.com
Capgemini,capgemini.com
Allianz,allianz.com
Subaru,subaru.com
Walgreens Boots Alliance,walgreensbootsalliance.com
Saudi Aramco,aramco.com
BBC,bbc.com
Twitter,x.com
Volvo,volvo.com
ICBC,icbc-us.com
Atlassian,atlassian.com
Unilever,unilever.com
Moderna,modernatx.com
Nissan,nissanusa.com
Costco,costco.com
Kimberly-Clark,kimberly-clark.com
LyondellBasell,lyondellbasell.com
Fresenius Medical Care,fmcna.com
Komatsu,komatsu.com
Schneider Electric,se.com
Lululemon Athletica,lululemon.com
Google,google.com
Sony Pictures,sonypictures.com
Aldi,aldi.us
Marathon Petroleum,marathonpetroleum.com
Pandora Media,pandora.com
Sainsbury’s,sainsburys.co.uk
Stellantis (Fiat Chrysler + PSA Group),stellantis.com
Quest Diagnostics,questdiagnostics.com
Gilead Sciences,gilead.com
AbbVie,abbvie.com
Infosys,infosys.com
Santander,santander.com
AmerisourceBergen,amerisourcebergen.com
Baker Hughes,bakerhughes.com
Bank of America,bankofamerica.com
HSBC,hsbc.com
JD.com,jd.com
CVS Health,cvshealth.com
Maersk,maersk.com
Warner Bros. Discovery,wbd.com
Financial Times,ft.com
Rolls-Royce Motor Cars,rolls-roycemotorcars.com
Charles Schwab,schwab.com
Amgen,amgen.com
The Guardian,theguardian.com
Abbott Laboratories,abbott.com
John Deere,deere.com
JPMorgan Chase,jpmorganchase.com
TotalEnergies,totalenergies.com
Baidu,baidu.com
Gazprom,gazprom.com
The Washington Post,washingtonpost.com
3M Company,3m.com
Mahindra & Mahindra,mahindra.com
American Eagle Outfitters,aeo-inc.com
Walmart,walmart.com
ZTE Corporation,zte.com.cn
UBS,ubs.com
Intel,intel.com
Stryker,stryker.com
Honda,honda.com
Ryder System,ryder.com
Cigna,cigna.com
